221	490
283	892
713	380
832	85
88	756
740	426
30	422
268	959
176	524
295	354
280	43
840	122
446	806
417	989
641	936
217	758
835	487
293	545
435	261
467	255
319	650
561	69
228	311
435	910
154	600
293	85
5	225
25	829
686	503
568	604
133	989
781	803
912	731
555	596
191	639
37	647
147	856
958	984
576	966
731	804
536	9
703	443
113	654
595	250
197	870
794	714
300	449
775	419
269	115
515	144
679	903
339	142
898	970
387	360
159	420
587	563
569	110
754	607
174	140
699	599
508	494
21	626
121	509
415	603
49	242
68	79
592	21
524	48
441	816
861	234
439	824
857	141
959	37
573	672
861	330
592	342
161	758
383	565
24	107
987	837
97	563
128	315
468	869
850	45
6	36
591	378
110	40
276	459
736	73
289	761
996	745
193	947
716	196
150	880
928	943
118	997
417	640
974	41
845	106
994	754
